companyId,bossUid,jobName,ext,jobCityList,graduationYear,eduLevel,salaryType,salaryMin,salaryMax,salaryMonth,companyName,scaleTagName,personScales,companyShortName,address
14499,74120,【上海】Python系统开发实习生,"{""infos"":""天王星量化旗下数据科学团队，正在寻找一名Python系统开发实习生加入我们的交易系统开发项目，您将在优秀的开发人员的指导下，学习并参与大数据与集群系统相关开发工作。\n\n岗位职责\n● 有机会学习量化交易系统相关的开发知识，包括不限于自动化运维开发应用，前端量化交易管理系统开发等\n● 有机会与高性能交易系统开发团队一起合作开发量化交易相关的功能组件\n● 完成上级交代的其他任务\n\n\n"",""requirements"":""●国内或海外重点高校计算机、数学、电子等理工类本科及以上学历在读\n● 熟练掌握Python，熟悉Linux环境\n● 热爱编程，有一定的代码项目经验\n● 自驱力强，对工作认真负责，渴望成长和提高\n● 优秀的分析和解决问题能力\n● 性格阳光，乐观，有优秀的沟通能力和良好的社交习惯\n\n额外加分项\n● 省级以上物理数学计算机类竞赛获奖经历者\n● 熟悉Jenkins, Pipeline, Airflow者优先\n● 熟悉MongoDB, Redis者优先\n● 熟悉C/C++者优先""}","[""上海""]",毕业不限,5000,1,300,600,0,上海仲阳天王星数据科技有限公司,未融资,100-499人,上海仲阳天王星数据科技有限公司,上海 成都 深圳
715,95379,算法工程师,"{""requirements"":""任职资格\n1.良好的pytorch/python技术栈，具备熟练的阅读代码和编写代码的能力。熟练使用ChatGPT等工具提升自己工作效率会有所加分。\n2.硕士及以上学历，精通至少1个Deep Learning任务，并深入一线研发、或达到业界SOTA水平、或支撑过Web Scale的业务规模\n3.对SOTA的大模型技术有深入了解（不管是来自实践还是其他)，能够问出好的问题，并对至少一个重要问题有非共识理解\n4科学的研发习惯；具备良好的问题定义能力；对细节敏感；独立思考"",""infos"":""1.海量数据的处理：定性分析、定量评估数据质量，并给出scalable的改进方案，对数据采集和处理流程不断提出新的要求和改进方案。\n2.模型的改进：在Large Scale上迭代并改进模型使其更加的高效(capacity perflops/improvementper flops),或者提升模型的scale up后的稳定性\n3.研究并改进Scale Law,随着模型的变化给出Large Scale上的技术选择（例如参数/数据比、不同\n超参数设置等)\n4.多模态：研发多种模态作为输入/输出的LargeScale模型\n""}","[""上海""]",毕业不限,5000,1,200,500,0,小红书,D轮及以上,1000-9999人,小红书,上海市
149396,41439,后端Python实习生(A251685),"{""requirements"":""1.计算机相关专业在读学生，本科及以上学历\n2.Python基础扎实，熟悉Python常用库和框架(如Flask/FastAPI等)\n3.熟悉RESTful API设计规范，了解HTTP协议\n4.熟悉常用数据库(MySQL/MongoDB)和缓存技术(Redis)\n5.了解向量数据库(如Milvus/Pinecone)的基本概念和使用\n6.对LLM(大语言模型)及其应用有基本了解\n7.具备良好的学习能力和团队协作精神\n\n加分项：\n1.有OpenAI API调用经验\n2.了解Langchain等LLM开发框架\n3.有类似AI助手/聊天机器人项目经验\n4.对prompt engineering有一定了解\n5.熟悉Git版本控制"",""infos"":""1.参与LPM的开发与维护工作。\n2.负责LPM系统的后端接口开发。\n3.参与项目需求分析和技术方案设计。\n4.协助完善产品功能，解决开发过程中的技术问题。""}","[""杭州""]",毕业不限,5000,1,200,300,0,杭州心识宇宙科技有限公司,A轮,20-99人,杭州心识宇宙科技有限公司,杭州
134,14993,阿里巴巴-Python研发工程师,"{""requirements"":""职位要求\n1. 具备Python经验，计算机基础扎实，并对内存、线程、操作系统等有深入理解；\n2. 了解AI算法部署，能够开发高利用量的弹性资源调度系统，可以针对全链路进行性能优化，包括但不限于显存、内存、延时优化；\n3.加分项：有音视频，大模型应用或直播类业务相关工作经验者优先"",""infos"":""\n职位描述\n1. 负责淘宝直播数字人产品的研发和架构设计，制定和实施技术方案，支撑淘宝直播数字人业务增长，包括主播端工具、淘宝直播控制台等；\n2. 支持淘宝直播AI算法工程的架构建设及落地，优化算法训练和内容生产流程。\n\n""}","[""杭州""]",毕业不限,5000,1,400,550,0,阿里巴巴集团,天使轮,1000-9999人,阿里巴巴集团,杭州市
275404,102914,数据分析师（实习）,"{""requirements"":""1、熟练使用SQL， 了解Python或者R\n2、很强的逻辑思维与商业洞察力，能以合适分析框架解决各种复杂问题\n3、有一定的商业与产品Sense，能对用户有较深的理解\n4、对流行文化、PGC1 UGC视频、直播、综艺、音乐、电影等有兴趣及-定认知者优先"",""infos"":""1、基于数据、调研、公司产品与竞品的理解，解决短视频、直播以及新产品增长相关的各种复杂商业分析问题，能独立完成从方案设计、数据加工与分析，到结论展示的整个流程\n2、对公司内外部数据进行挖掘，在深入的产品理解与用户洞察基础上，自主发掘课题，提出有实效的建议，驱动产品迭代\n了、针对不同业务市场、产品、增长等业务线做数据支持""}","[""广州""]",毕业不限,5000,1,200,500,0,智信恒瑞,上市,20-99人,智信恒瑞,北京市
1801,108901,见习Python开发工程师,"{""requirements"":""【任职要求】\n1. 计算机相关专业，2026/2027届本科/硕士在校生；\n2. 基本功扎实，熟练掌握常见的数据结构和算法，有较强的编码能力，了解Linux；\n3. 熟悉Python开发，能使用sanic、tornado、flask中任意一种开发框架优先；\n4. 工作热情高，积极主动完成交付的任务，具有良好的团队合作精神；\n5. 有激情，有创造力，喜欢研究新技术，沟通能力良好。"",""infos"":""岗位职责】\n1. 公司RPA产品、智能体产品的需求整理及后端开发；""}","[""杭州""]",毕业不限,5000,1,160,200,0,实在智能,C轮,100-499人,实在智能,湖州市
274346,102390,数据分析师（实习）,"{""requirements"":""1.统计、数学、信息技术、生物统计本科以上学历，有互联网分析经验优先\n2.良好的业务梳理能力，对数据有较好的敏感性及洞察力，善于总结归纳，能从海量数据提炼核心结果\n3.良好的沟通能力，能自如与业务部门，技术部门沟通，有跨部门合作经验优先\n4.熟练独立编写数据分析报告，及时发现和分析其中隐含的变化和问题 \n5.熟练运用SQL进行数据处理，熟练编程语言如Python，R语言等优先"",""infos"":""1. 构建全面的、准确的、能反映服务业务线特征的整体指标体系，并基于业务监控指标体系，及时发现与定位业务问题\n2以实现业务目标为导向，通过专题分析，对业务问题进行深入分析，为公司运营决策、产品方向、业务策略提供数据支持 了.\n3.沉淀分析思路与框架，提炼数据产品需求，与相关团队(如技术开发团队）协作并推动数据产品的落地\n4. 与相关团队协作进行数据建模工作，推动业务部门的数据化运营""}","[""北京""]",2025届,5000,1,200,500,15,网班信息,未融资,20-99人,网班信息,上海市
14499,74086,【深圳】Python数据开发实习生,"{""requirements"":""岗位要求\n● 国内985高校计算机科学类本科及研究生在读\n● 熟练掌握Python，熟悉Linux环境\n● 热爱编程，有一定的代码项目经验\n● 自驱力强，对工作认真负责，渴望成长和提高\n● 优秀的分析和解决问题能力\n● 性格阳光，乐观，有优秀的沟通能力和良好的社交习惯\n\n额外加分项\n● 省级以上物理数学类竞赛获奖经历者\n● 熟练使用数据分析工具，例如 numpy、pandas 和 matplotlib"",""infos"":""天王星量化旗下高频交易团队，正在寻找Python数据开发实习生加入我们的数据科学研究系统开发项目，您将在优秀的开发人员的指导下，学习并参与数据清洗和因子优化的工作。\n\n岗位职责\n● 有机会学习量化交易相关的数据科学知识，包括不限于自动化数据清洗、采样、特征构造等\n● 有机会参与开发量化交易研究的回测系统组件\n● 有机会协助量化研究人员开发alpha因子、拟合工具、组合优化工具等\n● 有机会参与学习和开发机器学习算法相关组件\n● 完成上级交代的其他任务\n""}","[""深圳""]",毕业不限,5000,1,300,600,0,上海仲阳天王星数据科技有限公司,未融资,100-499人,上海仲阳天王星数据科技有限公司,上海 成都 深圳
290860,105740,数据分析师（实习）,"{""requirements"":""职位要求\n1、本科及以上学历，统计学、数学、计算机等相关专业；\n2、熟练使用sql/hive/python/spark等语言工具进行数据分析工作；\n3、扎实的统计学、数据挖掘等理论和技术基础，熟练掌握因果推断、统计与概率论等数学工具，熟悉聚类分析、关联分析、逻辑回归、决策树等数据挖掘机器学习模型算法；\n4、有较强的逻辑思维能力，对数据敏感，具备很强的数据分析和解决问题的能力，有较好的产品意识，对产品和数据有独立的思考和洞察，有较强的数据驱动的意识；\n5、具备较强的学习能力，有强烈的求知欲和进取心，主动及时关注学习业界最新技术；\n6、有较强的责任心和owner意识，具备良好的沟通表达能力，积极乐观并有良好的团队协作能力\n7、在支付、金融、信贷等领域有相关的数据工作经验及行业经验者优先。"",""infos"":""职位描述\n1、负责国际支付业务的数据分析、指标体系建设、业务迭代分析及AB实验分析等工作；\n2、通过基础数据建设，能够清晰、完整的刻画国际支付业务的业务现状；\n3、通过专项数据分析形成数据洞察及优化迭代建议，数据驱动国际支付业务发展。""}","[""上海""]",2025届,5000,1,200,500,16,北京飞书网络技术有限公司,未融资,暂无,北京飞书网络技术有限公司,北京市
293894,107941,Python开发工程师（大模型方向）,"{""requirements"":""1、计算机相关专业，本科或以上学历\n2、掌握Python开发技术\n3、掌握大模型提示词工程技术、知识库开发技术、智能体开发技术优先\n4、掌握FastAPI或Flask或Django开发框架，有服务端web开发经验优先\n5、掌握SQL数据库（如MySQL、PostgreSQL）的使用\n6、熟悉Docker、Kubernetes等容器化技术，了解CI/CD流程\n7、熟悉git版本管理工具，了解VUE优先\n8、具有高度责任感、积极主动、善于学习、肯于钻研\n9、具备良好的沟通能力"",""infos"":""【岗位职责】\n1、负责大模型应用开发\n2、Python后端服务开发，解决业务逻辑和数据产品相关业务\n3、负责后端模块需求分析、接口设计与开发\n4、负责产品后端web服务的开发、维护和升级\n【职位亮点】\n1、员工95后居多，扁平化管理，工作氛围轻松活泼；\n2、给予员工在人工智能领域极大学习空间，提供理论知识学习材料，鼓励员工学习和创新；\n3、办公地点置身通州核心商务中心区，面朝京杭大运河，俯瞰运河森林公园，环境优美。""}","[""北京""]",2026届,5000,2,10,15,14,北京汇智有识科技有限公司,未融资,20-99人,北京汇智有识科技有限公司,北京市
